FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	SPC_x	SPC_y	MPC_x	MPC_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
1	275	226	311	124	383	147	402.040423484119	200.731472569779	418	248	400	264	397	280	376	283	349	243	372	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	274.121032714844	225.502670288086	310.901672363281	124.114189147949	382.799621582031	146.942398071289	402.040423484119	200.731472569779	417.913818359375	247.893432617188	399.942596435547	263.863037109375	396.81005859375	279.771179199219	375.865509033203	282.731903076172	348.890075683594	242.673049926758	370.932159423828	216.881866455078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	273.593444824219	225.246932983398	310.502990722656	124.097633361816	382.456298828125	146.894119262695	402.040423484119	200.731472569779	417.826232910156	247.787841796875	399.903381347656	263.473419189453	395.914332784184	280.243161094225	376.232839099396	282.188449848024	348.712646484375	242.163391113281	369.881805419922	216.471435546875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	273.299285888672	225.17268371582	310.572113037109	124.246475219727	382.277252197266	146.990936279297	402.040423484119	200.731472569779	417.694061279297	247.645874023438	399.72314453125	262.818939208984	395.914332784184	277.325227963526	376.232839099396	281.215805471125	348.596374511719	241.385711669922	369.461791992188	215.731964111328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	273.145111083984	225.245742797852	310.951385498047	124.509880065918	382.056030273438	147.142913818359	402.040423484119	200.731472569779	417.550567626953	247.540008544922	399.492767333984	261.217346191406	395.914332784184	273.920972644377	376.232839099396	279.756838905775	348.406280517578	240.175689697266	369.616271972656	214.54866027832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	273.195159912109	225.366912841797	311.010772705078	124.558570861816	381.730560302734	147.262847900391	402.040423484119	200.731472569779	417.377716064453	247.416107177734	398.023064250412	252.522796352584	395.914332784184	270.516717325228	376.232839099396	276.352583586626	348.81933003844	234.042553191489	372.015376166941	210.699088145897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	273.274261474609	225.488586425781	311.279052734375	124.530204772949	381.560394287109	147.5732421875	402.040423484119	200.731472569779	417.334045410156	247.25358581543	398.023064250412	245.227963525836	393.805601317957	261.276595744681	374.827018121911	268.085106382979	348.81933003844	232.58358662614	372.015376166941	207.294832826748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	273.335510253906	225.616790771484	311.315216064453	124.753036499023	381.793792724609	147.711303710938	402.040423484119	200.731472569779	417.376434326172	247.18896484375	395.211422295442	230.63829787234	393.102690829215	257.872340425532	374.827018121911	263.70820668693	347.413509060955	231.61094224924	372.015376166941	206.322188449848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	273.471038818359	225.84928894043	311.219757080078	124.994010925293	381.728912353516	147.736755371094	402.040423484119	200.731472569779	417.31298828125	247.193801879883	393.102690829215	225.775075987842	389.588138385502	253.981762917933	372.718286655684	259.817629179331	345.304777594728	231.61094224924	372.015376166941	206.322188449848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	273.538452148438	226.329483032227	311.074310302734	125.207321166992	381.577697753906	147.972793579102	402.040423484119	200.731472569779	417.254119873047	247.232803344727	393.102690829215	224.802431610942	390.993959362987	253.009118541034	368.500823723229	257.386018237082	345.304777594728	231.61094224924	372.718286655684	206.322188449848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	273.639221191406	227.007843017578	310.798950195312	125.432838439941	381.370056152344	148.054351806641	402.040423484119	200.731472569779	417.227630615234	247.391326904297	393.102690829215	224.316109422492	389.588138385502	249.118541033435	366.392092257002	254.954407294833	343.898956617243	231.61094224924	374.827018121911	205.349544072948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	273.947784423828	227.626708984375	310.72314453125	125.473052978516	381.072418212891	148.078201293945	402.040423484119	200.731472569779	417.199188232422	247.498580932617	393.102690829215	223.829787234043	388.88522789676	248.145896656535	364.283360790774	253.981762917933	343.898956617243	231.61094224924	379.044481054366	203.890577507599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	274.127197265625	228.425079345703	310.227722167969	125.495750427246	381.141265869141	147.919387817383	402.040423484119	200.731472569779	417.168579101562	247.724868774414	393.102690829215	223.343465045593	385.370675453048	245.227963525836	364.283360790774	253.495440729483	343.196046128501	231.61094224924	382.559033498078	203.404255319149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	274.659637451172	229.081604003906	310.12060546875	125.508865356445	381.160705566406	147.86669921875	402.040423484119	200.731472569779	417.291290283203	248.012786865234	393.805601317957	223.829787234043	384.667764964305	244.255319148936	363.580450302032	251.550151975684	341.790225151016	231.61094224924	383.26194398682	202.431610942249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	275.332244873047	230.024597167969	310.045989990234	125.41104888916	381.108734130859	147.729553222656	402.040423484119	200.731472569779	417.512084960938	248.233291625977	395.211422295442	223.829787234043	383.26194398682	241.337386018237	363.580450302032	249.118541033435	341.790225151016	231.61094224924	385.370675453048	202.431610942249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	276.222747802734	231.195190429688	309.94189453125	125.408500671387	380.977569580078	147.871704101562	402.040423484119	200.731472569779	417.624816894531	248.290267944336	395.914332784184	223.829787234043	383.26194398682	239.878419452888	362.174629324547	246.200607902736	338.978583196046	230.63829787234	385.370675453048	202.431610942249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	277.319183349609	232.486557006836	309.751037597656	125.278312683105	380.826263427734	147.948486328125	402.040423484119	200.731472569779	417.612823486328	248.548400878906	395.914332784184	223.829787234043	381.153212520593	237.933130699088	362.174629324547	242.796352583587	338.978583196046	230.63829787234	385.370675453048	202.431610942249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	278.458862304688	233.917510986328	309.608551025391	125.166084289551	380.765075683594	147.852600097656	402.040423484119	200.731472569779	417.668975830078	248.937316894531	397.320153761669	223.829787234043	381.153212520593	236.960486322189	361.471718835804	242.310030395137	338.978583196046	230.63829787234	383.26194398682	202.431610942249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	279.947113037109	235.227111816406	309.476135253906	125.217086791992	380.825317382812	147.720397949219	402.040423484119	200.731472569779	417.729766845703	249.384292602539	397.320153761669	223.829787234043	380.450302031851	236.474164133739	361.471718835804	241.337386018237	338.978583196046	230.63829787234	383.26194398682	202.917933130699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	281.355743408203	236.538665771484	309.379089355469	125.325294494629	380.771545410156	147.805191040039	402.040423484119	200.731472569779	417.767974853516	249.598434448242	398.023064250412	224.316109422492	380.450302031851	235.987841945289	361.471718835804	241.337386018237	339.681493684789	230.63829787234	383.26194398682	203.890577507599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	282.715576171875	237.810745239258	309.207946777344	125.357757568359	380.878784179688	147.751113891602	402.040423484119	200.731472569779	417.855285644531	249.805450439453	398.023064250412	224.802431610942	381.153212520593	235.987841945289	361.471718835804	241.337386018237	342.493135639758	231.61094224924	383.26194398682	203.890577507599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	284.276428222656	238.904098510742	309.156646728516	125.44115447998	380.879638671875	147.878479003906	402.040423484119	200.731472569779	417.904052734375	249.924194335938	400.131795716639	225.288753799392	383.26194398682	236.960486322189	363.580450302032	242.796352583587	343.196046128501	233.06990881459	383.26194398682	203.890577507599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	285.647033691406	239.834732055664	309.219177246094	125.492263793945	381.013244628906	147.979568481445	402.040423484119	200.731472569779	417.969787597656	250.079925537109	400.131795716639	226.747720364742	385.370675453048	238.905775075988	364.283360790774	245.714285714286	344.601867105986	234.528875379939	383.26194398682	205.349544072948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	286.729888916016	240.647903442383	309.150970458984	125.590507507324	381.130279541016	147.917739868164	402.040423484119	200.731472569779	417.977264404297	250.128662109375	400.131795716639	227.234042553192	387.479406919275	243.282674772037	364.283360790774	248.632218844985	345.304777594728	235.501519756839	383.26194398682	206.322188449848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	287.574005126953	241.27424621582	309.127960205078	125.777626037598	381.323486328125	147.774871826172	402.040423484119	200.731472569779	418.020660400391	250.258911132812	400.131795716639	228.206686930091	389.588138385502	244.255319148936	365.689181768259	249.604863221885	346.007688083471	235.987841945289	383.26194398682	206.322188449848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	288.387176513672	241.830795288086	309.232055664062	126.057304382324	381.459564208984	147.847106933594	402.040423484119	200.731472569779	418.070465087891	250.270553588867	401.537616694124	229.665653495441	389.588138385502	249.118541033435	366.392092257002	252.522796352584	346.007688083471	236.960486322189	384.667764964305	207.294832826748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	289.200958251953	242.27294921875	309.248870849609	126.21949005127	381.558746337891	148.059661865234	402.040423484119	200.731472569779	418.114044189453	250.378158569336	401.537616694124	231.12462006079	389.588138385502	249.604863221885	367.797913234486	254.954407294833	346.710598572213	237.933130699088	384.667764964305	207.294832826748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	289.722534179688	242.683563232422	309.102508544922	126.329803466797	381.664947509766	147.88249206543	402.040423484119	200.731472569779	418.10302734375	250.463760375977	401.537616694124	233.06990881459	389.588138385502	251.550151975684	368.500823723229	258.844984802432	347.413509060955	239.392097264438	385.370675453048	208.267477203648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
