start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame	si_point1_x	si_point1_y	si_point2_x	si_point2_y	pixelspercm	frameRate	lvc_onset	lvc_offset	laryngeal_jump	ues_opening	uesd_dist	nrrs_valres_area	nrrs_totalval_area	nrrs_pirires_area	nrrs_totalpiri_area	pcr_min_area	pcr_max_area	pas	pas_classifiers															
1	3	7	10	19	28	19						30.9767437													0															
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	SPC_x	SPC_y	MPC_x	MPC_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
1	275	255	311	357	383	334	402.0404235	280.2685274	418	233	400	217	397	201	376	198	349	238	372	264	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
2	274.1210327	255.4973297	310.9016724	356.8858109	382.7996216	334.0576019	402.0404235	280.2685274	417.9138184	233.1065674	399.9425964	217.1369629	396.8100586	201.2288208	375.865509	198.2680969	348.8900757	238.3269501	370.9321594	264.1181335	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
3	273.5934448	255.753067	310.5029907	356.9023666	382.4562988	334.1058807	402.0404235	280.2685274	417.8262329	233.2121582	399.9033813	217.5265808	395.9143328	200.7568389	376.2328391	198.8115502	348.7126465	238.8366089	369.8818054	264.5285645	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
4	273.2992859	255.8273163	310.572113	356.7535248	382.2772522	334.0090637	402.0404235	280.2685274	417.6940613	233.354126	399.7231445	218.1810608	395.9143328	203.674772	376.2328391	199.7841945	348.5963745	239.6142883	369.461792	265.2680359	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
5	273.1451111	255.7542572	310.9513855	356.4901199	382.0560303	333.8570862	402.0404235	280.2685274	417.5505676	233.4599915	399.4927673	219.7826538	395.9143328	207.0790274	376.2328391	201.2431611	348.4062805	240.8243103	369.616272	266.4513397	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
6	273.1951599	255.6330872	311.0107727	356.4414291	381.7305603	333.7371521	402.0404235	280.2685274	417.3777161	233.5838928	398.0230643	228.4772036	395.9143328	210.4832827	376.2328391	204.6474164	348.81933	246.9574468	372.0153762	270.3009119	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
7	273.2742615	255.5114136	311.2790527	356.4697952	381.5603943	333.4267578	402.0404235	280.2685274	417.3340454	233.7464142	398.0230643	235.7720365	393.8056013	219.7234043	374.8270181	212.9148936	348.81933	248.4164134	372.0153762	273.7051672	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
8	273.3355103	255.3832092	311.3152161	356.2469635	381.7937927	333.2886963	402.0404235	280.2685274	417.3764343	233.8110352	395.2114223	250.3617021	393.1026908	223.1276596	374.8270181	217.2917933	347.4135091	249.3890578	372.0153762	274.6778116	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
9	273.4710388	255.1507111	311.2197571	356.0059891	381.7289124	333.2632446	402.0404235	280.2685274	417.3129883	233.8061981	393.1026908	255.224924	389.5881384	227.0182371	372.7182867	221.1823708	345.3047776	249.3890578	372.0153762	274.6778116	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
10	273.5384521	254.670517	311.0743103	355.7926788	381.5776978	333.0272064	402.0404235	280.2685274	417.2541199	233.7671967	393.1026908	256.1975684	390.9939594	227.9908815	368.5008237	223.6139818	345.3047776	249.3890578	372.7182867	274.6778116	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
11	273.6392212	253.992157	310.7989502	355.5671616	381.3700562	332.9456482	402.0404235	280.2685274	417.2276306	233.6086731	393.1026908	256.6838906	389.5881384	231.881459	366.3920923	226.0455927	343.8989566	249.3890578	374.8270181	275.6504559	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
12	273.9477844	253.373291	310.7231445	355.526947	381.0724182	332.9217987	402.0404235	280.2685274	417.1991882	233.5014191	393.1026908	257.1702128	388.8852279	232.8541033	364.2833608	227.0182371	343.8989566	249.3890578	379.0444811	277.1094225	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
13	274.1271973	252.5749207	310.2277222	355.5042496	381.1412659	333.0806122	402.0404235	280.2685274	417.1685791	233.2751312	393.1026908	257.656535	385.3706755	235.7720365	364.2833608	227.5045593	343.1960461	249.3890578	382.5590335	277.5957447	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
