Swallow ID	Swallow Stage
Norm030_Tsp_Pud_morphoj_1	
Norm030_Tsp_Pud_morphoj_2	
Norm030_Tsp_Pud_morphoj_3	
Norm030_Tsp_Pud_morphoj_4	
Norm030_Tsp_Pud_morphoj_5	
Norm030_Tsp_Pud_morphoj_6	
Norm030_Tsp_Pud_morphoj_7	
Norm030_Tsp_Pud_morphoj_8	
Norm030_Tsp_Pud_morphoj_9	
Norm030_Tsp_Pud_morphoj_10	
Norm030_Tsp_Pud_morphoj_11	
Norm030_Tsp_Pud_morphoj_12	
Norm030_Tsp_Pud_morphoj_13	
Norm030_Tsp_Pud_morphoj_14	
Norm030_Tsp_Pud_morphoj_15	
Norm030_Tsp_Pud_morphoj_16	
Norm030_Tsp_Pud_morphoj_17	
Norm030_Tsp_Pud_morphoj_18	
Norm030_Tsp_Pud_morphoj_19	
Norm030_Tsp_Pud_morphoj_20	
Norm030_Tsp_Pud_morphoj_21	
Norm030_Tsp_Pud_morphoj_22	
Norm030_Tsp_Pud_morphoj_23	
Norm030_Tsp_Pud_morphoj_24	
Norm030_Tsp_Pud_morphoj_25	
Norm030_Tsp_Pud_morphoj_26	
Norm030_Tsp_Pud_morphoj_27	
Norm030_Tsp_Pud_morphoj_28	
Norm030_Tsp_Pud_morphoj_29	
Norm030_Tsp_Pud_morphoj_30	
Norm030_Tsp_Pud_morphoj_31	
Norm030_Tsp_Pud_morphoj_32	
Norm030_Tsp_Pud_morphoj_33	
Norm030_Tsp_Pud_morphoj_34	
Norm030_Tsp_Pud_morphoj_35	
Norm030_Tsp_Pud_morphoj_36	
Norm030_Tsp_Pud_morphoj_37	
Norm030_Tsp_Pud_morphoj_38	
Norm030_Tsp_Pud_morphoj_39	
Norm030_Tsp_Pud_morphoj_40	
Norm030_Tsp_Pud_morphoj_41	
Norm030_Tsp_Pud_morphoj_42	
Norm030_Tsp_Pud_morphoj_43	
Norm030_Tsp_Pud_morphoj_44	
Norm030_Tsp_Pud_morphoj_45	
Norm030_Tsp_Pud_morphoj_46	
Norm030_Tsp_Pud_morphoj_47	
Norm030_Tsp_Pud_morphoj_48	
Norm030_Tsp_Pud_morphoj_49	
Norm030_Tsp_Pud_morphoj_50	
Norm030_Tsp_Pud_morphoj_51	
Norm072_Tsp_Pud_morphoj_1	Oral Transport
Norm072_Tsp_Pud_morphoj_2	Oral Transport
Norm072_Tsp_Pud_morphoj_3	Oral Transport
Norm072_Tsp_Pud_morphoj_4	Oral Transport
Norm072_Tsp_Pud_morphoj_5	Oral Transport
Norm072_Tsp_Pud_morphoj_6	Oral Transport
Norm072_Tsp_Pud_morphoj_7	Oral Transport
Norm072_Tsp_Pud_morphoj_8	Oral Transport
Norm072_Tsp_Pud_morphoj_9	Oral Transport
Norm072_Tsp_Pud_morphoj_10	Oral Transport
Norm072_Tsp_Pud_morphoj_11	Oral Transport
Norm072_Tsp_Pud_morphoj_12	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_13	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_14	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_15	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_16	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_17	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_18	Pharyngeal Stage
Norm072_Tsp_Pud_morphoj_19	Esophageal Stage
Norm072_Tsp_Pud_morphoj_20	Esophageal Stage
Norm072_Tsp_Pud_morphoj_21	Esophageal Stage
Norm072_Tsp_Thn_morphoj_1	Oral Transport
Norm072_Tsp_Thn_morphoj_2	Oral Transport
Norm072_Tsp_Thn_morphoj_3	Oral Transport
Norm072_Tsp_Thn_morphoj_4	Oral Transport
Norm072_Tsp_Thn_morphoj_5	Oral Transport
Norm072_Tsp_Thn_morphoj_6	Oral Transport
Norm072_Tsp_Thn_morphoj_7	Oral Transport
Norm072_Tsp_Thn_morphoj_8	Oral Transport
Norm072_Tsp_Thn_morphoj_9	Oral Transport
Norm072_Tsp_Thn_morphoj_10	Oral Transport
Norm072_Tsp_Thn_morphoj_11	Oral Transport
Norm072_Tsp_Thn_morphoj_12	Oral Transport
Norm072_Tsp_Thn_morphoj_13	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_14	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_15	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_16	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_17	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_18	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_19	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_20	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_21	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_22	Pharyngeal Stage
Norm072_Tsp_Thn_morphoj_23	Esophageal Stage
Norm072_Tsp_Thn_morphoj_24	Esophageal Stage
Norm072_Tsp_Thn_morphoj_25	Esophageal Stage
Norm072_Tsp_Thn_morphoj_26	Esophageal Stage
Norm072_Tsp_Thn_morphoj_27	Esophageal Stage
Norm072_Tsp_Thn_morphoj_28	Esophageal Stage
