start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame																																		
																																								
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	Landmark_11_x	Landmark_11_y	Landmark_12_x	Landmark_12_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
1	272.489815415431	268.575182262354	340	402	419	376	435	294	447.97820051079	213.604427050586	433.6563269272	205.912142951347	423	188	388	168	358	240	390	254	419.519119335376	305.816142755052	427.495090813089	260.336326309804	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
2	271.929168701172	270.08512878418	339.887969970703	401.874847412109	418.852478027344	376.133987426758	434.970397949219	293.970687866211	447.97820051079	213.604427050586	433.6563269272	207.310740060299	422.956146240234	188.184356689453	387.915863037109	168.198913574219	358.18017578125	240.098281860352	390.326690673828	254.332260131836	418.815629842936	305.816142755052	427.495090813089	260.336326309804	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
3	271.779937744141	270.046234130859	339.656890869141	401.853828430176	418.842132568359	375.956527709961	434.758758544922	293.862350463867	447.97820051079	213.604427050586	433.6563269272	208.010038614776	422.818450927734	188.432067871094	387.802368164062	168.375762939453	358.544189453125	240.333648681641	391.032165527344	255.148147583008	418.815629842936	305.816142755052	427.495090813089	260.336326309804	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
4	271.653930664062	269.967742919922	339.438690185547	401.927612304688	418.636688232422	375.951858520508	434.513427734375	293.871185302734	447.97820051079	213.604427050586	433.6563269272	208.010038614776	422.722930908203	188.989135742188	387.840087890625	168.673736572266	359.038879394531	240.737075805664	391.665679931641	255.961715698242	418.815629842936	305.816142755052	427.495090813089	260.336326309804	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
5	271.497314453125	270.069381713867	339.131927490234	401.727127075195	418.502990722656	376.069175720215	434.388610839844	293.736694335938	447.97820051079	213.604427050586	432.974332947029	212.205829941633	422.492797851562	189.411773681641	387.998840332031	168.8134765625	360.000977068739	240.177772120684	392.909057617188	257.170257568359	418.815629842936	305.816142755052	427.495090813089	260.845862218472	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
6	271.323211669922	270.017456054688	338.719543457031	401.596862792969	418.351715087891	376.002624511719	434.039459228516	292.364181518555	447.97820051079	213.604427050586	431.610344986687	214.303725605062	422.218017578125	190.269439697266	388.088470458984	169.33837890625	360.68297104891	241.576369229637	393.547973632812	257.743728637695	419.49825803247	305.685022181222	426.961968627714	261.355398127139	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
7	270.9326171875	270.091995239258	338.543151855469	401.743293762207	418.296173095703	376.163612365723	433.995758056641	291.328689575195	447.97820051079	213.604427050586	428.882369066004	217.800218377443	421.865478515625	191.202301025391	388.063201904297	169.797515869141	362.046959009252	242.275667784113	394.100676077286	257.660235982591	420.564502403219	305.685022181222	426.961968627714	261.864934035807	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
8	270.669525146484	270.301803588867	338.418426513672	401.797416687012	417.974822998047	376.2001953125	434.073913574219	291.083236694336	447.97820051079	215.003024159538	427.518381105662	221.296711149825	421.352722167969	192.565887451172	387.975982666016	170.834808349609	362.046959009252	242.275667784113	394.782670057457	259.75813164602	420.564502403219	305.685022181222	424.296357700841	266.450757213815	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
9	270.448608398438	270.360061645508	338.413940429688	401.731262207031	417.900817871094	376.111358642578	434.167602539062	290.159439086914	447.97820051079	215.003024159538	427.518381105662	222.695308258777	420.893218994141	193.963836669922	388.033966064453	171.396270751953	364.092940949765	245.072862002018	396.82865199797	261.856027309449	419.49825803247	305.685022181222	423.763235515467	266.960293122483	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
10	270.249694824219	270.281295776367	338.142425537109	401.895446777344	417.501861572266	375.820114135742	434.245452880859	289.344909667969	447.97820051079	215.003024159538	427.518381105662	222.695308258777	420.875427246094	194.552459716797	388.157440185547	171.752960205078	366.820916870449	247.870056219923	398.874633938483	263.254624418401	416.299524920223	305.175486272554	423.763235515467	266.960293122483	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
