start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame																																		
2	2	8	12	15	20	20																																		
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	Landmark_11_x	Landmark_11_y	Landmark_12_x	Landmark_12_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
1	275	210	332	69	420	97	439	184	457	258	438.315967745875	266.917841621146	430	286	396	301	368	230	396.726059780322	214.97983382458	424.971162901786	166.973356111655	434.878639920315	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	275.026519775391	210.143783569336	331.766967773438	69.3106231689453	420.076019287109	97.0612030029297	438.998748779297	184.33251953125	456.963134765625	258.113006591797	438.315967745875	266.917841621146	430.118682861328	285.840637207031	396.270355224609	300.804473876953	368.884765625	229.927932739258	400.642151288238	214.252563327925	424.971162901786	166.973356111655	434.878639920315	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	274.928771972656	210.250701904297	331.594818115234	69.5190887451172	419.982604980469	97.2003555297852	439.038269042969	184.51301574707	456.821258544922	258.230163574219	438.315967745875	266.917841621146	430.15380859375	285.734222412109	396.416137695312	300.8505859375	369.606719970703	229.908798217773	400.642151288238	212.798022334614	424.971162901786	166.973356111655	434.878639920315	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	274.615966796875	210.160690307617	331.61962890625	69.5533065795898	420.078277587891	97.23828125	438.824645996094	184.481887817383	456.479675292969	258.049285888672	438.315967745875	265.946184682295	430.042907714844	285.650787353516	396.382385253906	300.750640869141	369.774230957031	229.94026184082	402.600197042196	212.070751837959	424.971162901786	166.973356111655	434.878639920315	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	274.400939941406	209.953567504883	331.469696044922	69.3686218261719	419.849792480469	97.2006530761719	438.662231445312	184.354797363281	456.347442626953	258.011077880859	438.315967745875	265.622299036011	429.850219726562	285.603637695312	396.398345947266	300.8427734375	369.708953857422	230.007171630859	402.600197042196	212.070751837959	424.971162901786	166.973356111655	434.878639920315	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	273.986785888672	209.790344238281	331.40283203125	69.2193756103516	419.721740722656	97.1667175292969	438.357177734375	184.40983581543	456.194793701172	257.973541259766	437.811800276293	264.974527743443	429.551055908203	285.271942138672	396.2568359375	300.860076904297	369.44140625	229.847717285156	402.600197042196	212.070751837959	425.631661369687	169.088918264881	432.897144516609	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	273.390899658203	209.630386352539	331.247955322266	69.2284851074219	419.141723632812	97.1335296630859	437.945526123047	184.765090942383	456.035339355469	257.974884033203	436.80346533713	262.707328219457	429.275848388672	285.254241943359	395.953552246094	300.585021972656	368.980834960938	229.624328613281	402.600197042196	212.070751837959	423.650165965982	169.088918264881	432.897144516609	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	272.782379150391	209.704681396484	330.582275390625	69.209831237793	418.776641845703	97.3290023803711	437.702941894531	184.545257568359	455.835205078125	257.801116943359	436.299297867548	259.792357402903	429.360155679619	284.797801503492	395.639617919922	300.013641357422	366.050009634983	225.88889127441	402.600197042196	212.070751837959	421.668670562276	169.088918264881	432.897144516609	214.926098251447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	272.252746582031	209.674530029297	329.917022705078	69.1107864379883	418.119750976562	97.2978744506836	437.424194335938	184.215621948242	455.626098632812	257.903533935547	434.786795458802	256.87738658635	428.054791843647	283.343260510181	394.768014026365	297.888670443288	362.786600045054	225.161620777755	402.600197042196	212.070751837959	421.668670562276	169.088918264881	432.897144516609	214.220910867038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	271.040252685547	209.490768432617	329.309448242188	68.9604034423828	417.606628417969	97.5166625976562	437.059234619141	183.900588989258	454.814750481071	260.070604617211	431.257623171728	253.314644477228	426.09674608969	279.706908026905	392.809968272407	297.161399946632	353.649053193251	223.707079784444	402.600197042196	212.070751837959	421.008172094374	170.499293033698	431.576147580805	213.515723482629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
