Frame Numbers	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	UES Sens #	UES-1 Pressures	UES Pressrue	UES+1 Pressures	UES_i-1	UES_i	UES_i+1
1	-22.56	-22.56	-22.56	-34.58	-22.26	7.03	0	3.89	4.21	3.86	1.54	-0.77	4.95	-0.3	-4.74	0.45	1.01	1.58	-2.03	-2.31	-0.74	-0.95	22.66	34.39	46.11	17.49	3.87	2.8	3.93	4.32	4.7	1.84	4.25	4.09	10.38	3.64	13	-0.77	4.95	-0.3	-0.77	4.95	4.95
2	-22.78	-22.78	-22.78	-34.58	-22.18	7.18	0	3.89	4.21	3.95	1.71	-0.53	4.85	-0.3	-4.74	0.45	1.01	1.58	-1.94	-2.48	-0.56	-0.95	22.53	34.11	45.7	17.25	3.87	2.8	4.05	4.21	4.37	1.84	4.12	3.84	10.28	3.98	13	-0.53	4.85	-0.3	-0.53	4.85	4.85
3	-22.78	-22.78	-22.78	-34.71	-22.26	7.03	0	3.89	4.08	3.86	1.54	-0.77	4.55	-0.44	-4.74	0.45	1.08	1.71	-1.94	-2.48	-0.56	-0.95	22.93	34.38	45.84	17.74	4.15	2.8	4.17	4.27	4.37	2.15	4.37	4.26	10.48	3.81	13	-0.77	4.55	-0.44	-0.77	4.55	4.55
4	-22.78	-22.78	-22.78	-34.45	-22.1	7.34	-0.25	3.77	4.08	3.86	1.54	-0.77	4.34	-0.44	-4.74	0.58	1.14	1.71	-2.03	-2.4	-0.65	-0.95	23.07	34.38	45.7	17.86	4.15	2.8	4.4	4.55	4.7	2	4.5	4.17	10.48	3.64	13	-0.77	4.34	-0.44	-0.77	4.34	4.34
5	-22.56	-22.56	-22.56	-34.45	-22.18	7.18	0	4.01	3.83	3.95	1.65	-0.65	4.14	-0.3	-4.74	0.45	1.08	1.71	-2.13	-2.4	-0.74	-0.95	23.07	34.32	45.56	18.48	4.15	2.65	4.29	4.41	4.54	1.84	4.37	4.17	10.48	3.64	13	-0.65	4.14	-0.3	-0.65	4.14	4.14
6	-22.78	-22.78	-22.78	-34.71	-22.26	6.56	0	3.77	3.96	3.67	1.45	-0.77	3.94	-0.3	-4.87	0.45	1.01	1.58	-1.94	-2.31	-0.56	-0.95	23.2	34.66	46.11	18.11	4.05	2.8	4.17	4.44	4.7	1.84	4.5	4.17	10.38	3.48	13	-0.77	3.94	-0.3	-0.77	3.94	3.94
7	-22.78	-22.78	-22.78	-34.71	-22.1	6.56	0	3.77	3.83	3.86	1.54	-0.77	3.63	-0.3	-4.74	0.45	1.14	1.84	-1.85	-2.4	-0.65	-0.82	23.2	34.72	46.24	18.23	4.45	3.25	4.52	4.53	4.54	2.46	4.76	4.51	10.57	3.81	16	-4.74	0.45	1.14	-0.77	3.63	3.63
8	-22.67	-22.67	-22.67	-34.71	-22.18	6.09	0	3.64	3.83	3.86	1.48	-0.89	3.43	-0.44	-4.87	0.31	0.95	1.58	-1.85	-2.22	-0.65	-0.82	23.2	34.79	46.38	18.11	4.45	3.25	4.4	4.97	5.53	2.62	4.89	4.51	10.87	3.98	16	-4.87	0.31	0.95	-0.89	3.43	3.43
9	-22.56	-22.56	-22.56	-34.45	-22.1	6.09	0	4.01	3.7	3.67	1.39	-0.89	3.02	-0.17	-5	0.45	1.08	1.71	-1.85	-2.22	-0.56	-0.82	23.74	34.99	46.24	17.98	4.15	3.1	4.4	4.8	5.2	2.31	4.37	4.51	10.87	4.15	16	-5	0.45	1.08	-0.89	3.02	3.02
10	-22.9	-22.9	-22.9	-34.71	-22.18	5.77	-0.25	3.89	3.83	3.57	1.4	-0.77	3.02	-0.44	-4.74	0.45	1.01	1.58	-1.94	-2.13	-0.56	-0.82	23.88	34.86	45.84	17.37	4.05	3.1	4.29	4.99	5.69	2.92	4.89	4.68	11.06	4.15	16	-4.74	0.45	1.01	-0.77	3.02	3.02
