Swallow ID	Swallow Stage	
+testvideo2_morphoj_1	Pre-Oral Transport	50
+testvideo2_morphoj_2	Pre-Oral Transport	50
+testvideo2_morphoj_3	Oral Transport	50
+testvideo2_morphoj_4	Oral Transport	50
+testvideo2_morphoj_5	Oral Transport	50
+testvideo2_morphoj_6	Oral Transport	50
+testvideo2_morphoj_7	Pharyngeal Stage	50
+testvideo2_morphoj_8	Pharyngeal Stage	50
+testvideo2_morphoj_9	Pharyngeal Stage	50
+testvideo2_morphoj_10	Pharyngeal Stage	50
+testvideo2_morphoj_11	Pharyngeal Stage	50
+testvideo2_morphoj_12	Pharyngeal Stage	50
+testvideo2_morphoj_13	Pharyngeal Stage	50
+testvideo2_morphoj_14	Pharyngeal Stage	50
+testvideo2_morphoj_15	Pharyngeal Stage	50
+testvideo2_morphoj_16	Pharyngeal Stage	50
+testvideo2_morphoj_17	Pharyngeal Stage	50
+testvideo2_morphoj_18	Esophageal Stage	50
+testvideo2_morphoj_19	Esophageal Stage	50
+testvideo2_morphoj_20	Post-Esophageal Stage	50
+testvideo2_morphoj_21	Post-Esophageal Stage	50
